date,username,tweet,clean_tweet
2022-12-22,Rosalina doodles ^o^ #Nintendo #SuperMario #MarioBros  https://t.co/jXYZlERG8C,ellenent,ellenent
2022-12-22,GIVEAWAY TIME!!!!!  For a chance to win this insanely fun game Project Warlock on Nintendo switch these are the rules.   Follow this account   Join our discord  https://t.co/z8wLsOXyxq  Like and retweet this post.  🔥🔥🙌  Good luck and giveaway is only United States. thanks 🙏  https://t.co/KA4kGZqo3L,rob_makes_games,robmakesgames
2022-12-23,Elon Musk is Trump with money. But at this rate Trump will have more money than him.,adamparkhomenko,adamparkhomenko
2022-12-23,Elon Musk Promises An Investigation After Twitter Locks Accounts For Criticizing Zelensky’s Speech  https://t.co/OdXXz5uXUn,hrkbenowen,hrkbenowen
2022-12-23,Elon Musk says he will not sell more Tesla stock for about two years  https://t.co/RG0CxPXo8n  https://t.co/LoAUxBjfaK,reuters,reuters
2022-12-23,@elonmusk @ClayTravis @nytimes @Twitter less fraud by the new york times would also be nice  https://t.co/qqV16eYfc7,gregg_re,greggre
2022-12-23,@CollinRugg @elonmusk @alx @thebradfordfile @BowTiedRanger @jason_meister @ColumbiaBugle @Chesschick01 @rondeaulivia My account is currently throttled by roughly 50- 60 % began late morning early afternoon..    https://t.co/V8Sxsgkxp6,chuckcallesto,chuckcallesto
2022-12-23,@elonmusk Some accounts are back but here is the list I have:  @alx  @thebradfordfile  @BowTiedRanger  @jason_meister  @ColumbiaBugle  @Chesschick01  @rondeaulivia,collinrugg,collinrugg
2022-12-23,"@elonmusk @CollinRugg They locked me out for sharing a picture of Zelensky in front of Kamala &amp; Pelosi while they were waving the flag smiling (Ukrainian of course, not American).  They let me back in. But that was weird.  https://t.co/6dTTLbbHH7",legendaryenergy,legendaryenergy
2022-12-23,Elon Musk should take his Twitter money and buy Washington DC.  Like George Soros did.,iluminatibot,iluminatibot
2022-12-23,"""The continued reign of Elon Musk as Twitter’s chief jerk could, in fact, affect your life, in ways you might not realize,"" @RadioFreeTom writes.  https://t.co/2CtAOIK4C9",theatlantic,theatlantic
2022-12-23,Elon Musk is going to be the man who gets Poster's Madness added to the DSM,iwriteok,iwriteok
2022-12-23,.@TomFitton: Who watches the watchers? @ElonMusk @Twitter files provide devastating evidence of FBI corruption and abuse.  https://t.co/MtQ5jD3Hx0,judicialwatch,judicialwatch
2022-12-22,"@ClayTravis @nytimes @Twitter NY Times is simply outputting short summaries of articles, which then hit a paywall for non-subscribers.   They would have far more views if they interacted with readers on Twitter and allowed at least the first few paragraphs to be read by non-subscribers.",elonmusk,elonmusk
2022-12-22,Hey @elonmusk even though I don' t have my ACCOUNT back I would prefer to have @entheoshines Back. Education is key for progress and that Account EDUCATED the masses.  #bringbackEntheoshines,idontexisttore,idontexisttore
2022-12-22,The fact some clown can lose 123 billion and still be rich and taken seriously is the easy argument in the world for a wealth tax  Elon Musk lost $123 billion this year as Tesla's shares tanked. But he still has a lot of money left | Fortune  https://t.co/2GlFwZ6v4u,johncusack,johncusack
